chapter_id,chapter_sequence_no,book_id,author_id,published_date,tags
2812946,1,139726,66847,22-03-1990,Fantasy|Horror
4330764,2,139726,66847,09-04-1990,Fantasy|Young Adult|Literary Fiction
2664499,3,139726,66847,07-04-1990,Fantasy
2260666,4,139726,66847,18-05-1990,Literary Fiction|Fantasy
6069976,1,191772,62262,30-07-2008,Horror|Young Adult|Romance|Graphic Novel
1138081,2,191772,62262,15-08-2008,Young Adult|Paranormal|Dystopian
7547044,3,191772,62262,13-08-2008,Young Adult
6210574,4,191772,62262,22-09-2008,Literary Fiction|Young Adult
8177246,1,176806,79515,06-12-1995,Literary Fiction|Graphic Novel
1534446,2,176806,79515,16-12-1995,Dystopian|Literary Fiction
8301486,3,176806,79515,22-12-1995,Graphic Novel|Literary Fiction|Paranormal|Crime
3576848,4,176806,79515,10-02-1996,Science Fiction|Thriller|Literary Fiction
1940383,5,176806,79515,31-03-1996,Literary Fiction|Romance|Dystopian
9144235,6,176806,79515,09-04-1996,Literary Fiction|Historical Fiction|Graphic Novel|Crime
2878390,7,176806,79515,16-05-1996,Literary Fiction
4013747,8,176806,79515,29-05-1996,Paranormal|Literary Fiction
3992824,9,176806,79515,04-04-1996,Literary Fiction|Historical Fiction
1398578,10,176806,79515,05-03-1996,Romance|Fantasy|Literary Fiction|Mystery
6347031,11,176806,79515,11-09-1996,Mystery|Literary Fiction
4573354,12,176806,79515,26-08-1996,Historical Fiction|Literary Fiction|Fantasy|Humor
1053542,13,176806,79515,16-04-1996,Literary Fiction
5366463,14,176806,79515,17-12-1996,Literary Fiction
1965482,15,176806,79515,10-04-1996,Fantasy|Literary Fiction|Thriller
9420435,16,176806,79515,03-06-1996,Literary Fiction
3990404,17,176806,79515,01-07-1996,Literary Fiction
9867284,1,156904,72518,09-02-2010,Young Adult|Paranormal
3556662,2,156904,72518,10-03-2010,Paranormal
3365812,3,156904,72518,15-03-2010,Paranormal|Romance
4532790,1,286638,14234,28-02-2004,Adventure|Crime|Young Adult
2006421,2,286638,14234,08-03-2004,Young Adult|Crime
6260191,3,286638,14234,12-04-2004,Humor|Fantasy|Mystery|Young Adult
6158729,4,286638,14234,01-04-2004,Young Adult
9136918,5,286638,14234,16-04-2004,Young Adult|Mystery|Paranormal
6253675,6,286638,14234,12-07-2004,Paranormal|Young Adult|Fantasy
5481269,7,286638,14234,10-05-2004,Young Adult|Horror
7911313,8,286638,14234,29-05-2004,Young Adult
5816610,9,286638,14234,05-07-2004,Thriller|Science Fiction|Young Adult|Mystery
7585328,10,286638,14234,10-05-2004,Dystopian|Young Adult|Graphic Novel
5888842,11,286638,14234,24-11-2004,Romance|Literary Fiction|Adventure|Young Adult
8745239,12,286638,14234,21-12-2004,Young Adult
8157483,13,286638,14234,21-07-2004,Science Fiction|Young Adult
1943546,14,286638,14234,27-11-2004,Historical Fiction|Literary Fiction|Young Adult
6357870,15,286638,14234,29-01-2005,Graphic Novel|Paranormal|Dystopian|Young Adult
1417863,16,286638,14234,27-06-2004,Young Adult
1709949,17,286638,14234,02-03-2005,Young Adult
2037539,1,932794,10324,16-12-1998,Humor
9605225,2,932794,10324,07-01-1999,Crime|Humor
7814412,3,932794,10324,29-01-1999,Humor
6758630,4,932794,10324,17-02-1999,Adventure|Humor|Mystery|Paranormal
2245033,1,364144,92511,03-05-1990,Historical Fiction|Crime|Romance|Thriller
2554839,1,685193,87994,11-02-1998,Crime|Graphic Novel|Adventure|Paranormal
9176292,2,685193,87994,10-03-1998,Crime|Adventure|Romance|Graphic Novel
5131126,3,685193,87994,15-03-1998,Crime
4394658,4,685193,87994,21-04-1998,Romance|Crime
4729475,5,685193,87994,07-06-1998,Crime
2074462,6,685193,87994,17-04-1998,Graphic Novel|Crime
2255890,7,685193,87994,12-05-1998,Fantasy|Thriller|Crime|Young Adult
